case_id,document_count,token_count,avg_tokens_per_document
case_001,12,1238,103.16666666666667
case_002,11,1399,127.18181818181819
case_003,11,1453,132.0909090909091
case_004,11,1523,138.45454545454547
case_005,10,1238,123.8
case_006,11,1515,137.72727272727272
case_007,11,1202,109.27272727272727
case_008,10,1230,123.0
case_009,11,1348,122.54545454545455
case_010,12,1361,113.41666666666667
case_011,12,1291,107.58333333333333
case_012,12,1486,123.83333333333333
case_013,11,1339,121.72727272727273
case_014,12,1328,110.66666666666667
case_015,11,1342,122.0
case_016,12,1439,119.91666666666667
case_017,10,1266,126.6
case_018,11,1120,101.81818181818181
case_019,12,1439,119.91666666666667
case_020,12,1498,124.83333333333333
case_021,11,1169,106.27272727272727
case_022,11,1504,136.72727272727272
case_023,12,1433,119.41666666666667
case_024,12,1196,99.66666666666667
case_025,12,1387,115.58333333333333
case_026,12,1241,103.41666666666667
case_027,12,1310,109.16666666666667
case_028,11,1458,132.54545454545453
case_029,12,1167,97.25
case_030,11,1165,105.9090909090909
case_031,12,1414,117.83333333333333
case_032,12,1223,101.91666666666667
case_033,11,1211,110.0909090909091
case_034,12,1228,102.33333333333333
case_035,11,1255,114.0909090909091
case_036,12,1210,100.83333333333333
case_037,12,1250,104.16666666666667
case_038,11,1151,104.63636363636364
case_039,12,1746,145.5
case_040,10,1472,147.2
case_041,11,1161,105.54545454545455
case_042,9,1191,132.33333333333334
case_043,12,1334,111.16666666666667
case_044,12,1361,113.41666666666667
case_045,12,1452,121.0
case_046,11,1589,144.45454545454547
case_047,12,1315,109.58333333333333
case_048,10,1387,138.7
case_049,12,1080,90.0
case_050,12,1524,127.0
case_051,12,1249,104.08333333333333
case_052,12,1469,122.41666666666667
case_053,10,1203,120.3
case_054,12,1195,99.58333333333333
case_055,12,1255,104.58333333333333
case_056,12,1407,117.25
case_057,11,1174,106.72727272727273
case_058,12,1385,115.41666666666667
case_059,12,1421,118.41666666666667
case_060,10,1265,126.5
case_061,12,1524,127.0
case_062,11,1199,109.0
case_063,9,1514,168.22222222222223
case_064,10,1155,115.5
case_065,12,1291,107.58333333333333
case_066,11,1154,104.9090909090909
case_067,10,1704,170.4
case_068,10,1231,123.1
case_069,10,1484,148.4
case_070,12,1239,103.25
case_071,11,1389,126.27272727272727
case_072,11,1349,122.63636363636364
case_073,10,1098,109.8
case_074,12,1388,115.66666666666667
case_075,12,1465,122.08333333333333
case_076,11,1354,123.0909090909091
case_077,12,1419,118.25
case_078,11,1306,118.72727272727273
case_079,10,1688,168.8
case_080,12,1248,104.0
case_081,12,1459,121.58333333333333
case_082,11,1604,145.8181818181818
case_083,12,1312,109.33333333333333
case_084,11,1439,130.8181818181818
case_085,12,1474,122.83333333333333
case_086,11,1314,119.45454545454545
case_087,12,1263,105.25
case_088,11,1240,112.72727272727273
case_089,11,1308,118.9090909090909
case_090,11,1547,140.63636363636363
case_091,10,1440,144.0
case_092,11,1567,142.45454545454547
case_093,12,1212,101.0
case_094,12,1374,114.5
case_095,12,1418,118.16666666666667
case_096,12,1157,96.41666666666667
case_097,12,1162,96.83333333333333
case_098,11,1548,140.72727272727272
case_099,12,1281,106.75
case_100,12,1260,105.0
